source,assertionType,evidenceType,createdOn,exactText,modality,statementType,drug1Lab,drug1Type,drug1Role,dose1,drug2Lab,drug2Type,drug2Role,dose2,numOfParticipants,auc
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 14:57:30  0400,"In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased. However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs",ncit:positive,ncit:Qualitative,phenytoin,active ingredient,dikbD2R:precipitant drug of interaction,,ondansetron,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,increase auc,evidence supports,2015 06 19 12:00:00  0400,"Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole",ncit:positive,ncit:quantitative,digoxin,active ingredient,dikbD2R:object drug of interaction,Unk,Esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,0.02,Unk,10%
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:58:25  0400,"Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole",ncit:positive,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,iron salts,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:58:06  0400,"Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole",ncit:positive,ncit:Qualitative,ketoconazole,active ingredient,dikbD2R:precipitant drug of interaction,,esomeprazole,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:54:10  0400,"Omeprazole has been reported to interact with some antiretroviral drugs. The clinical importance and the mechanisms behind these interactions are not always known. Increased gastric pH during omeprazole treatment may change the absorption of the antiretroviral drug. Other possible interaction mechanisms are via CYP2C19. For some antiretroviral drugs, such as atazanavir and nelfinavir, decreased serum levels have been reported when given together with omeprazole. Following multiple doses of nelfinavir (1250 mg, twice daily) and omeprazole (40 mg daily), AUC was decreased by 36% and 92%, Cmax by 37% and 89% and Cmin by 39% and 75%, respectively, for nelfinavir and M8. Following multiple doses of atazanavir (400 mg daily) and omeprazole (40 mg daily, 2 hr before atazanavir), AUC was decreased by 94%, Cmax by 96%, and Cmin by 95%. Concomitant administration with omeprazole and drugs such as atazanavir and nelfinavir is therefore not recommended. For other antiretroviral drugs, such as saquinavir, elevated serum levels have been reported with an increase in AUC by 82%, in Cmax by 75% and in Cmin by 106% following multiple dosing of saquinavir/ritonavir (1,000 mg/100 mg) twice daily for 15 days with omeprazole 40 mg daily coadministered days 11 to 15. Dose reduction of saquinavir should be considered from the safety perspective for individual patients. There are also some antiretroviral drugs of which unchanged serum levels have been reported when given with omeprazole.",ncit:positive,ncit:Qualitative,atazanavir,active ingredient,dikbD2R:object drug of interaction,,omeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:52:22  0400,"7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients",ncit:negative,ncit:Qualitative,diazepam,active ingredient,dikbD2R:precipitant drug of interaction,,rabeprazole,active ingredient,dikbD2R:object drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 14:57:58  0400,"In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased. However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs",ncit:positive,ncit:Qualitative,rifampin,active ingredient,dikbD2R:precipitant drug of interaction,,ondansetron,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 10:54:20  0400,"In vitro and in vivo studies have shown that esomeprazole is not likely to inhibit CYPs 1A2, 2A6, 2C9, 2D6, 2E1 and 3A4. No clinically relevant interactions with drugs metabolized by these CYP enzymes would be expected. Drug interaction studies have shown that esomeprazole does not have any clinically significant interactions with phenytoin, warfarin, quinidine, clarithromycin or amoxicillin. Postmarketing reports of changes in prothrombin measures have been received among patients on concomitant warfarin and esomeprazole therapy. Increases in INR and prothrombin time may lead to abnormal bleeding and even death. Patients treated with proton pump inhibitors and warfarin concomitantly may need to be monitored for increases in INR and prothrombin time",ncit:negative,ncit:Qualitative,clarithromycin,active ingredient,dikbD2R:object drug of interaction,,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 15:01:32  0400,"In a crossover study in 76 pediatric patients, intravenous ondansetron did not increase blood levels of high dose methotrexate.",ncit:negative,ncit:Qualitative,methotrexate,active ingredient,dikbD2R:object drug of interaction,,ondansetron,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:52:36  0400,"7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients",ncit:negative,ncit:Qualitative,rabeprazole,active ingredient,dikbD2R:object drug of interaction,,phenytoin,active ingredient,dikbD2R:precipitant drug of interaction,,,
