source,date,assertionType,evidenceType,exactText,modality,statementType,drug1Lab,drug1Type,drug1Role,dose1,drug2Lab,drug2Type,drug2Role,dose2,objectRegimens,objectFormulation,objectDuration,preciptRegimens,preciptFormulation,preciptDuration,numOfParticipants,auc,aucType,aucDirection,cl,clType,clDirection,cmax,cmaxType,cmaxDirection,t12,t12Type,t12Direction
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"Digoxin–In a placebo-controlled trial in normal volunteers, administration of sertraline for 17 days (including 200 mg/day for the last 10 days) did not change serum digoxin levels or digoxin renal clearance.",ncit:negative,ncit:quantitative,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,Unk,digoxin,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,200,UNK,UNK,Unk,Daily,Oral,17,10,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"Cimetidine–In a study assessing disposition of sertraline (100 mg) on the second of 8 days of cimetidine administration (800 mg daily), there were significant increases in sertraline mean AUC (50%), Cmax (24%) and half-life (26%) compared to the placebo group. The clinical significance of these changes is unknown.",ncit:positive,ncit:quantitative,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,100,cimetidine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,800,SD,Oral,2,Daily,Oral,8,Unk,50,Percent,Increase,Unk,UNK,UNK,24,Percent,Increase,26,Percent,Increase
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"Hypoglycemic Drugs–In a placebo-controlled trial in normal volunteers, administration of sertraline for 22 days (including 200 mg/day for the final 13 days) caused a statistically significant 16% decrease from baseline in the clearance of tolbutamide following an intravenous 1000 mg dose. Sertraline administration did not noticeably change either the plasma protein binding or the apparent volume of distribution of tolbutamide, suggesting that the decreased clearance was due to a change in the metabolism of the drug. The clinical significance of this decrease in tolbutamide clearance is unknown.",ncit:positive,ncit:quantitative,tolbutamide,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,200,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,1000,SD,IV,1,Daily,Oral,22,Unk,Unk,UNK,UNK,16,Percent,Decrease,Unk,UNK,UNK,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"Drugs Metabolized by P450 3A4–In three separate in vivo interaction studies, sertraline was co-administered with cytochrome P450 3A4 substrates, terfenadine, carbamazepine, or cisapride under steady-state conditions. The results of these studies indicated that sertraline did not increase plasma concentrations of terfenadine, carbamazepine, or cisapride. These data indicate that sertraline’s extent of inhibition of P450 3A4 activity is not likely to be of clinical significance. Results of the interaction study with cisapride indicate that sertraline 200 mg (q.d.) induces the metabolism of cisapride (cisapride AUC and Cmax were reduced by about 35%).",ncit:positive,ncit:quantitative,cisapride,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,200,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,Unk,UNK,UNK,Unk,QD,Oral,Unk,Unk,35,Percent,Decrease,Unk,UNK,UNK,35,Percent,Decrease,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"In a study comparing the disposition of intravenously administered diazepam before and after 21 days of dosing with either sertraline (50 to 200 mg/day escalating dose) or placebo, there was a 32% decrease relative to baseline in diazepam clearance for the sertraline group compared to a 19% decrease relative to baseline for the placebo group (p < 0.03). There was a 23% increase in Tmax for desmethyldiazepam in the sertraline group compared to a 20% decrease in the placebo group (p < 0.03). The clinical significance of these changes is unknown.",ncit:positive,ncit:quantitative,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,50-200,diazepam,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,Unk,UNK,IV,Unk,Daily,Oral,21,Unk,Unk,UNK,UNK,32,Percent,Decrease,Unk,UNK,UNK,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,2015-09-16 15:31:12 -0400,DDI-clinical-trial,evidence-supports,"n a controlled study of a single dose (2 mg) of pimozide, 200 mg sertraline (q.d.) co-administration to steady state was associated with a mean increase in pimozide AUC and Cmax of about 40%, but was not associated with any changes in EKG. Since the highest recommended pimozide dose (10 mg) has not been evaluated in combination with sertraline, the effect on QT interval and PK parameters at doses higher than 2 mg at this time are not known. While the mechanism of this interaction is unknown, due to the narrow therapeutic index of pimozide and due to the interaction noted at a low dose of pimozide, concomitant administration of sertraline and pimozide should be contraindicated (see ",ncit:positive,ncit:quantitative,pimozide,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,200,sertraline,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,2,SD,Oral,1,QD,Oral,Unk,Unk,40,Percent,Increase,Unk,UNK,UNK,40,Percent,Increase,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html,2015-09-14 11:31:14 -0400,DDI-clinical-trial,evidence-supports,"Daily oral dosing of paroxetine (30 mg once daily) increased steady-state AUC0-24, Cmax, and Cmin values of procyclidine (5 mg oral once daily) by 35%, 37%, and 67%, respectively, compared to procyclidine alone at steady state. If anticholinergic effects are seen, the dose of procyclidine should be reduced.",ncit:positive,ncit:quantitative,paroxetine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,5,procyclidine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,30,Daily,Oral,Unk,Daily,Oral,Unk,Unk,35,Percent,Increase,Unk,UNK,UNK,37,Percent,Increase,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html,2015-09-14 11:31:14 -0400,DDI-clinical-trial,evidence-supports,"In a study where propranolol (80 mg twice daily) was dosed orally for 18 days, the established steady-state plasma concentrations of propranolol were unaltered during coadministration with paroxetine (30 mg once daily) for the final 10 days. The effects of propranolol on paroxetine have not been evaluated (see ADVERSE REACTIONS: Postmarketing Reports).",ncit:negative,ncit:quantitative,propranolol,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,30,paroxetine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,80,BID,Oral,18,Daily,Oral,10,Unk,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html,2015-09-14 11:21:10 -0400,DDI-clinical-trial,evidence-supports,"When a single oral 30 mg dose of paroxetine was administered at phenytoin steady state (300 mg once daily for 14 days), paroxetine AUC and T½ were reduced (by an average of 50% and 35%, respectively) compared to paroxetine administered alone. In a separate study, when a single oral 300 mg dose of phenytoin was administered at paroxetine steady state (30 mg once daily for 14 days), phenytoin AUC was slightly reduced (12% on average) compared to phenytoin administered alone. Since both drugs exhibit nonlinear pharmacokinetics, the above studies may not address the case where the 2 drugs are both being chronically dosed. No initial dosage adjustments are considered necessary when these drugs are coadministered; any subsequent adjustments should be guided by clinical effect (see ADVERSE REACTIONS: Postmarketing Reports).",ncit:positive,ncit:quantitative,phenytoin,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:object-drug-of-interaction,30,paroxetine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,300,SD,Oral,1,Daily,Oral,14,Unk,12,Percent,Decrease,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html,2015-09-14 11:21:10 -0400,DDI-clinical-trial,evidence-supports,"Concomitant use of paroxetine with risperidone, a CYP2D6 substrate has also been evaluated. In 1 study, daily dosing of paroxetine 20 mg in patients stabilized on risperidone (4 to 8 mg/day) increased mean plasma concentrations of risperidone approximately 4-fold, decreased 9-hydroxyrisperidone concentrations approximately 10%, and increased concentrations of the active moiety (the sum of risperidone plus 9-hydroxyrisperidone) approximately 1.4-fold.",ncit:positive,ncit:quantitative,9-hydroxyrisperidone,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/metabolite,dikbD2R:object-drug-of-interaction,20,paroxetine,http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient,dikbD2R:precipitant-drug-of-interaction,4-8,Daily,Oral,Unk,Daily,Oral,Unk,Unk,10,Percent,Decrease,Unk,UNK,UNK,Unk,UNK,UNK,Unk,UNK,UNK
